 0ms] inbound/mixed[mixed-in]: inbound connection to detectportal.firefox.com:80
INFO[0004] [437186154 0ms] inbound/mixed[mixed-in]: inbound connection to d1--cn-gotcha208.bilivideo.com:443
INFO[0004] [437186154 1ms] outbound/direct[bypass]: outbound connection to d1--cn-gotcha208.bilivideo.com:443
INFO[0005] [225966437 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:50178
INFO[0005] [225966437 0ms] inbound/mixed[mixed-in]: inbound connection to ocsp.globalsign.com:80
INFO[0005] [225966437 0ms] outbound/shadowsocks[proxy]: outbound connection to ocsp.globalsign.com:80
INFO[0005] [318686639 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:50186
INFO[0005] [318686639 0ms] inbound/mixed[mixed-in]: inbound connection to i0.hdslb.com:443
INFO[0005] [318686639 1ms] outbound/direct[bypass]: outbound connection to i0.hdslb.com:443
INFO[0006] outbound/shadowsocks[proxy]: outbound connection to cp.cloudflare.com:80
INFO[0006] [3087177396 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:50190
INFO[0006] [3087177396 0ms] inbound/mixed[mixed-in]: inbound connection to d1--cn-gotcha209.bilivideo.com:443
INFO[0006] [3087177396 2ms] outbound/direct[bypass]: outbound connection to d1--cn-gotcha209.bilivideo.com:443
INFO[0006] [1416047161 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:50206
INFO[0006] [1416047161 0ms] inbound/mixed[mixed-in]: [] inbound connection to 36.150.102.204:443
INFO[0006] [1416047161 2ms] outbound/direct[bypass]: outbound connection to 36.150.102.204:443
INFO[0006] [3612804318 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:50208
INFO[0006] [3612804318 0ms] inbound/mixed[mixed-in]: inbound connection to ocsp.globalsign.com:80
INFO[0006] [3612804318 0ms] outbound/shadowsocks[proxy]: outbound connection to ocsp.globalsign.com:80
INFO[0007] [2323826080 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:50216
INFO[0007] [2323826080 0ms] inbound/mixed[mixed-in]: inbound connection to api.vc.bilibili.com:443
INFO[0007] [2323826080 2ms] outbound/direct[bypass]: outbound connection to api.vc.bilibili.com:443
INFO[0007] outbound/direct[direct]: outbound packet connection to 10.10.2.21:53
INFO[0007] outbound/direct[direct]: outbound packet connection to 10.10.2.21:53
INFO[0007] [2614288098 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:50232
INFO[0007] [2614288098 0ms] inbound/mixed[mixed-in]: inbound connection to ocsp.globalsign.com:80
INFO[0007] [2614288098 0ms] outbound/shadowsocks[proxy]: outbound connection to ocsp.globalsign.com:80
INFO[0008] [2151319513 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:50246
INFO[0008] [2151319513 0ms] inbound/mixed[mixed-in]: [] inbound connection to 36.150.102.204:443
INFO[0008] [2151319513 5ms] outbound/direct[bypass]: outbound connection to 36.150.102.204:443
INFO[0010] [219748613 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:50252
INFO[0010] [219748613 0ms] inbound/mixed[mixed-in]: inbound connection to i1.hdslb.com:443
INFO[0010] [219748613 2ms] outbound/direct[bypass]: outbound connection to i1.hdslb.com:443
INFO[0014] [3908696307 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:56266
INFO[0014] [3908696307 0ms] inbound/mixed[mixed-in]: inbound connection to www.google.com:443
INFO[0014] [3908696307 6ms] outbound/shadowsocks[proxy]: outbound connection to www.google.com:443
INFO[0014] [4049971267 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:56278
INFO[0014] [4049971267 0ms] inbound/mixed[mixed-in]: inbound connection to www.google.com:443
INFO[0014] [4049971267 1ms] outbound/shadowsocks[proxy]: outbound connection to www.google.com:443
INFO[0014] [116690237 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:56288
INFO[0014] [116690237 0ms] inbound/mixed[mixed-in]: inbound connection to ocsp.pki.goog:80
INFO[0014] [116690237 1ms] outbound/shadowsocks[proxy]: outbound connection to ocsp.pki.goog:80
INFO[0019] [953193091 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:56300
